time,hr
1514061195,93
1514183465,87
1514277516,98
1514374448,108
1514378956,69
1514533115,84
1514666691,58
1514924508,96
1514988697,115
1514993387,57
1515013776,88
1515018347,87
1515188749,64
1515194879,102
1515246826,95
1515276193,94
1515394816,87
1515482624,67
1515652642,54
1515732523,95
1515791626,79
1515933741,48
1515934717,54
1515962395,83
1516217395,106
1516432410,76
1516432429,71
1516522468,69
1516585060,68
1517129655,78
1517206340,95
1517353045,87
1517511405,76
1517511704,85
1517512004,75
1517512305,79
1517512604,75
1517512904,70
1517513206,70
1517515004,75
1517515309,65
1517515916,82
1517516209,57
1517516504,117
1517517011,65
1517517305,129
1517517611,66
1517517905,90
1517518207,94
1517518506,90
1517518806,94
1517519110,92
1517519406,89
1517519706,84
1517520005,82
1517520305,81
1517520612,79
1517520908,87
1517521207,84
1517521506,106
1517521808,104
1517522111,66
1517522406,79
1517523007,75
1517523307,77
1517523612,80
1517523909,61
1517524207,71
1517524507,73
1517524807,70
1517525407,78
1517525712,72
1517526007,74
1517526307,70
1517526609,66
1517554813,84
1517555118,68
1517555408,78
1517555713,79
1517556013,90
1517556313,69
1517556608,71
1517556908,67
1517557209,65
1517557516,71
1517557808,81
1517558108,73
1517558340,66
1517561883,81
1517565540,92
1517565612,79
1517569140,72
1517569220,80
1517572740,85
1517572815,55
1517576340,83
1517576409,83
1517579940,73
1517580014,66
1517583540,83
1517583616,79
1517587140,73
1517587217,93
1517590740,45
1517590817,74
1517594340,117
1517594414,69
1517597940,62
1517598020,94
1517601540,84
1517601618,64
1517605140,77
1517605215,76
1517608740,92
1517608819,93
1517612340,68
1517612425,69
1517615940,81
1517616019,72
1517621940,66
1517622060,61
1517622180,74
1517622300,72
1517622420,68
1517622540,70
1517622660,64
1517622780,63
1517622900,71
1517623020,72
1517623140,71
1517623260,72
1517623380,69
1517623500,72
1517623620,66
1517623740,70
1517623860,68
1517623980,72
1517624100,74
1517624220,85
1517624340,75
1517624460,72
1517624580,69
1517624700,65
1517624820,67
1517624940,64
1517625060,70
1517625180,61
1517625300,70
1517625420,70
1517625540,72
1517625660,67
1517625780,72
1517625900,65
1517626020,71
1517626140,68
1517626260,65
1517626380,97
1517626500,67
1517626620,73
