id,start_time,end_time,awake,deep,light,stages,deleted,manually
1,1514238900,1514268360,1,236,254,35L10D12L16D23L1A7L15D4L25D2L57D15L10D31L31D23L37D28L13D56L10D7L12D11L,0,0
2,1514315040,1514317560,0,32,10,10L32D,0,0
3,1514326380,1514356200,0,224,273,10L36D6L22D12L45D15L21D77L11D7L34D63L18D56L11D14L13D2L13D11L,0,0
4,1514414880,1514443020,1,176,292,27L41D19L50D59L1A7L22D22L10D32L11D45L21D9L11D60L10D12L,0,0
5,1514500200,1514529480,0,233,255,10L20D2L23D2L48D11L29D2L37D44L31D19L11D12L11D21L12D14L11D118L,0,0
6,1514589480,1514619240,0,224,272,30L24D3L20D7L31D6L26D20L27D33L22D10L40D56L12D32L12D17L10D58L,0,0
7,1514675400,1514705880,0,210,298,11L56D8L10D7L50D17L10D27L33D26L12D43L11D26L28D133L,0,0
8,1514766840,1514795580,0,279,200,19L50D26L47D16L14D9L13D3L12D10L16D21L11D11L27D11L12D17L15D4L28D4L24D32L10D17L,0,0
9,1514848320,1514878320,1,309,190,22L16D7L28D9L64D25L11D18L1A6L26D16L21D12L20D2L24D2L15D2L35D25L10D8L25D10L14D26L,0,0
10,1514932980,1514961900,0,203,279,19L15D18L13D2L18D2L25D18L13D51L21D9L10D17L19D6L41D53L16D21L12D63L,0,0
11,1515023580,1515048240,0,194,217,13L30D3L35D23L10D9L10D38L20D6L29D37L11D24L12D13L26D35L11D16L,0,0
12,1515105000,1515135000,0,231,269,33L25D10L58D7L18D19L36D50L23D13L15D25L45D39L11D73L,0,0
13,1515182220,1515224340,108,320,273,15L57D108A10L20D6L16D18L21D2L12D23L18D14L54D2L28D2L20D20L23D13L15D14L12D27L14D7L10D100L,0,0
14,1515282360,1515310980,0,291,186,17L30D12L16D17L72D2L22D2L39D7L63D27L18D30L18D13L13D59L,0,0
15,1515363660,1515393420,0,235,261,27L54D53L70D5L16D35L10D33L18D15L16D22L10D22L41D49L,0,0
16,1515450960,1515479400,0,248,226,10L15D17L11D13L17D7L36D9L16D19L22D11L15D2L33D13L12D2L12D5L20D16L10D17L29D85L,0,0
17,1515534360,1515569760,0,321,269,43L60D9L32D2L17D3L22D16L16D30L21D6L20D17L11D52L64D7L27D43L10D26L21D15L,0,0
18,1515622500,1515651840,0,258,231,10L50D12L11D9L15D25L65D11L17D17L13D12L13D2L15D11L14D6L19D54L13D17L13D45L,0,0
19,1515708600,1515736620,0,225,242,11L66D20L16D9L35D8L17D12L48D33L16D55L10D8L17D86L,0,0
20,1515794100,1515826020,0,233,299,27L10D3L68D23L24D18L21D13L11D65L16D2L53D96L30D52L,0,0
21,1515882840,1515915420,0,365,178,20L44D2L42D3L33D2L20D9L10D17L41D6L11D10L28D16L41D7L10D6L15D3L19D23L17D35L12D6L22D13L,0,0
22,1515946260,1515951540,0,60,28,28L60D,0,0
23,1515970080,1515997620,0,245,214,30L96D2L32D4L18D17L26D7L13D13L15D13L14D5L15D11L16D112L,0,0
24,1516053000,1516084140,0,314,205,19L18D2L21D8L36D11L31D16L28D4L22D2L10D5L11D6L49D51L12D10L14D4L20D29L42D38L,0,0
25,1516141860,1516168620,0,172,274,23L20D10L25D6L36D29L30D17L13D39L22D2L11D6L15D142L,0,0
26,1516230780,1516255080,0,186,219,21L51D2L54D22L10D9L35D46L14D6L22D113L,0,0
27,1516312380,1516338660,0,251,187,10L58D5L10D8L45D2L30D6L12D16L10D7L16D19L16D36L10D8L24D11L20D59L,0,0
28,1516400640,1516432320,1,294,233,10L61D3L84D21L12D21L13D5L40D14L17D23L1A6L20D30L22D10L12D73L13D17L,0,0
29,1516485120,1516518240,0,242,310,11L41D2L17D4L10D37L19D26L23D39L59D21L12D26L50D7L11D137L,0,0
30,1516574580,1516602480,0,227,238,10L22D2L17D3L14D23L30D2L13D28L11D12L48D9L10D52L10D10L18D33L11D8L10D10L13D36L,0,0
31,1516659540,1516688040,0,262,213,10L47D11L13D7L54D6L15D20L17D10L39D5L14D6L10D18L24D27L18D78L11D15L,0,0
32,1516744260,1516776120,0,247,284,22L19D4L33D2L14D16L19D8L32D23L12D16L15D15L12D13L11D7L11D20L17D22L24D23L12D82L16D11L,0,0
33,1516834980,1516862340,16,234,205,11L48D9L11D5L46D19L13D2L16D10L16A18L12D2L15D8L46D6L10D50L17D65L,0,0
34,1516920780,1516946760,0,228,205,11L49D4L10D7L21D32L19D12L13D5L52D15L12D41L27D11L11D40L14D27L,0,0
35,1516954980,1516964580,0,40,120,22L15D11L25D87L,0,0
36,1517007240,1517034840,0,244,216,59L15D12L51D7L19D23L21D6L50D12L11D31L12D10L13D2L27D27L15D4L10D23L,0,0
37,1517092740,1517126100,26,185,344,90L26A10L63D16L36D11L10D38L22D14L30D20L10D67L14D78L,0,0
